EDGE_buildings_items;REMINDitems_out
appliances_light_elec_fe;feelcb
appliances_light_natgas_fe;fegab
appliances_light_petrol_fe;fehob
cooking_biomod_fe;fesob
cooking_biotrad_fe;fesob
cooking_coal_fe;fesob
cooking_elec_fe;feelcb
cooking_natgas_fe;fegab
cooking_petrol_fe;fehob
feothelec;feelcb
feothgas;fegab
feothheat;feheb
feothliquid;fehob
feothsolid;fesob
space_cooling_elec_fe;feelcb
space_cooling_heat_fe;feheb
space_heating_biomod_fe;fesob
space_heating_biotrad_fe;fesob
space_heating_coal_fe;fesob
space_heating_elecHP_fe;feelhpb
space_heating_elecRH_fe;feelrhb
space_heating_heat_fe;feheb
space_heating_natgas_fe;fegab
space_heating_petrol_fe;fehob
water_heating_biomod_fe;fesob
water_heating_biotrad_fe;fesob
water_heating_coal_fe;fesob
water_heating_elecHP_fe;feelhpb
water_heating_elecRH_fe;feelrhb
water_heating_heat_fe;feheb
water_heating_natgas_fe;fegab
water_heating_petrol_fe;fehob
